,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain
805044,03/03/2020,Vente,"850000,00",16.0,RUE,7061,DU PARC ROYAL,75003.0,AM,105,,621,,667.0,"54,02",,,,,,,2,2.0,55.0,2.0,
805045,14/05/2020,Vente,"5165000,00",2.0,AV,9585,VAN DYCK,75008.0,CO,27,,48,,87.0,"218,82",88.0,,,,,,3,2.0,218.0,5.0,
805046,14/05/2020,Vente,"5165000,00",2.0,AV,9585,VAN DYCK,75008.0,CO,27,,18,,,,,,,,,,1,3.0,0.0,0.0,
805047,28/04/2020,Vente,"460000,00",75.0,RUE,0420,DES ARCHIVES,75003.0,AI,51,,109,"33,07",134.0,,,,,,,,2,2.0,35.0,1.0,
805048,06/03/2020,Vente,"119500,00",8.0,AV,6450,MONTAIGNE,75008.0,AK,45,,82,,,,,,,,,,1,3.0,0.0,0.0,
805049,15/05/2020,Vente,"20000,00",26.0,AV,9933,DE WAGRAM,75008.0,AX,66,,19,,,,,,,,,,1,3.0,0.0,0.0,
805050,14/05/2020,Vente,"823200,00",79.0,RUE,6834,NOTRE DAME DE NAZARETH,75003.0,AB,107,,12,"65,64",,,,,,,,,1,2.0,66.0,4.0,
805051,11/05/2020,Vente,"2135800,00",14.0,RUE,8009,RAMBUTEAU,75003.0,AT,69,,22,"140,33",71.0,,,,,,,,2,2.0,134.0,5.0,
805052,30/04/2020,Vente,"62000,00",17.0,RUE,4921,JEAN MERMOZ,75008.0,BI,68,,44,"6,77",50.0,,,,,,,,2,3.0,0.0,0.0,
805053,30/04/2020,Vente,"1349100,00",27.0,RUE,7348,DES PETITS CHAMPS,75001.0,AW,35,,107,"86,64",,,,,,,,,1,2.0,96.0,4.0,
805054,07/05/2020,Vente,"340000,00",33.0,RUE,0900,DE BERNE,75008.0,CE,38,,32,,5.0,"34,07",,,,,,,2,2.0,36.0,2.0,
805055,12/05/2020,Vente,"693000,00",187.0,RUE,9191,DU TEMPLE,75003.0,AF,117,,129,"49,57",,,,,,,,,1,2.0,50.0,2.0,
805056,14/05/2020,Vente,"120000,00",81.0,BD,2386,DE COURCELLES,75008.0,AY,16,,418,"9,02",,,,,,,,,1,2.0,10.0,1.0,
805057,06/05/2020,Vente,"2690000,00",15.0,RUE,5825,DU LOUVRE,75001.0,AR,68,,216,"131,17",442.0,,,,,,,,2,4.0,588.0,0.0,
805058,06/05/2020,Vente,"2690000,00",15.0,RUE,5825,DU LOUVRE,75001.0,AR,68,,219,"121,82",242.0,,,,,,,,2,4.0,123.0,0.0,
805059,18/05/2020,Vente,"1175000,00",11.0,RUE,8724,DE SAINT PETERSBOURG,75008.0,CE,93,,19,,,,,,,,,,1,3.0,0.0,0.0,
805060,18/05/2020,Vente,"1175000,00",11.0,RUE,8724,DE SAINT PETERSBOURG,75008.0,CE,93,,13,,21.0,,41.0,,,,,,3,2.0,68.0,4.0,
805061,18/05/2020,Vente,"1175000,00",11.0,RUE,8724,DE SAINT PETERSBOURG,75008.0,CE,93,,18,,,,,,,,,,1,3.0,0.0,0.0,
805062,14/05/2020,Vente,"870000,00",11.0,RUE,4619,HEROLD,75001.0,AR,11,,1,,22.0,,23.0,,3.0,,,,4,2.0,80.0,2.0,
805063,18/05/2020,Vente,"1590000,00",6.0,RUE,7612,DE PONTHIEU,75008.0,BI,83,,16,"115,23",40.0,,,,,,,,2,2.0,115.0,4.0,
